,NTA,TotalSavingsMean,TotalJobsCreated
0,BK0101,10367.961794871795,16.0
1,BK0104,21158.253076923076,187.0
2,BK0202,74011.2558974359,0.0
3,BK0261,12876.958499999999,0.0
4,BK0301,57934.14166666666,8.0
5,BK0502,13810.223333333333,0.0
6,BK0503,62669.078888888886,415.0
7,BK0601,25358.179523809526,97.0
8,BK0702,17596.18857142857,92.0
9,BK0802,3620.966590909091,0.0
10,BK1602,-3744.1044444444437,55.0
11,BX0101,17226.212931034483,106.0
12,BX0201,21078.529495798317,133.0
13,BX1001,10510.395882352941,20.0
14,MN0101,431063.85866666667,0.0
15,MN0102,47655.74800000001,4.0
16,MN0902,2398.261224489796,10.0
17,MN1102,8909.400625,8.0
18,QN0101,14292.983783783784,100.0
19,QN0103,14084.895625,2.0
20,QN0104,25843.476363636364,23.0
21,QN0105,59201.95804597701,105.0
22,QN0161,2489.384,0.0
23,QN0201,27410.526875000003,78.0
24,QN0202,13586.924022988505,125.0
25,QN0203,6549.47090909091,10.0
26,QN0501,13278.137101449274,195.0
27,QN0502,11908.803529411765,3.0
28,QN0701,33604.16977272727,120.0
29,QN0904,1739.5158333333336,0.0
30,QN1306,21160.5052,0.0
